,epoch,train_loss,train_acc,val_loss,val_acc
0,1,3.779397587680817,0.57185,0.6347390320777893,0.6202
1,2,0.6116270948410034,0.664,0.5391885444164276,0.737
2,3,0.5450996114253998,0.7274,0.46080893869400025,0.7806
3,4,0.45490891427993774,0.7857,0.420902313709259,0.8088
4,5,0.4022880596160889,0.8177,0.3357324070215225,0.8558
5,6,0.3237853979110718,0.85775,0.2919764449119568,0.8682
6,7,0.3030395904183388,0.8669,0.34532638320922854,0.849
7,8,0.2520902169942856,0.89275,0.2264383470416069,0.902
8,9,0.23408208503723144,0.9016,0.23017309050559998,0.9022
9,10,0.2085185034275055,0.9134,0.2015119597196579,0.9116
